canonical_name,entity_type,unique_papers,total_rows,variant_count,is_singleton,normalization_issue,raw_variants
Two-stage training algorithm for one-layer transformer,Architecture,1,1,1,True,False,Two-stage training algorithm for one-layer transformer
Unelicitable backdoors,Unknown,1,2,2,True,False,Unelicitable backdoors | unelicitable backdoors
Uniform DAG sampling,Unknown,1,1,1,True,False,Uniform DAG sampling
Uniform sampling algorithm,Unknown,1,1,1,True,False,Uniform sampling algorithm
Unifying class of structured matrices,Unknown,1,1,1,True,False,Unifying class of structured matrices
Unigram models,Unknown,1,2,2,True,False,Unigram models | unigram models
Unsupervised Environment Design,Unknown,1,1,1,True,False,Unsupervised Environment Design
Unsupervised routing,Unknown,1,2,2,True,False,Unsupervised routing | unsupervised routing
Update-and-deploy framework,Tool,1,1,1,True,False,Update-and-deploy framework
Variational Score Distillation,Metric,1,1,1,True,False,Variational Score Distillation
Vector fields,Unknown,1,1,1,True,False,Vector fields
Vector-contraction inequality,Unknown,1,2,2,True,False,Vector-contraction inequality | vector-contraction inequality
Video diffusion model,Architecture,1,1,1,True,False,Video diffusion model
Vine copulas,Unknown,1,1,1,True,False,Vine copulas
Vision Transformers,Unknown,1,1,1,True,False,vision transformers
Wasserstein,Unknown,1,1,1,True,False,Wasserstein
Wasserstein gradient boosting,Unknown,1,1,1,True,False,Wasserstein gradient boosting
Weight orthogonalization,Unknown,1,2,2,True,False,Weight orthogonalization | weight orthogonalization
Weight rescaling following pretraining,Unknown,1,1,1,True,False,Weight rescaling following pretraining
active labeling framework,Tool,1,1,1,True,False,active labeling framework
adaptive branching,Unknown,1,1,1,True,False,adaptive branching
adaptive gradient methods,Unknown,1,1,1,True,False,adaptive gradient methods
adversarial evaluation procedure,Unknown,1,1,1,True,False,adversarial evaluation procedure
adversarial suffixes,Unknown,1,1,1,True,False,adversarial suffixes
adversarial training strategies,Technique,1,1,1,True,False,adversarial training strategies
algorithm enhancements for memory footprint reduction,Unknown,1,1,1,True,False,algorithm enhancements for memory footprint reduction
alternating optimization,Unknown,1,1,1,True,False,alternating optimization
alternative parameterization of low-rank problem,Unknown,1,1,1,True,False,alternative parameterization of low-rank problem
ancestral sampling,Unknown,1,1,1,True,False,ancestral sampling
assignment-then-diffusion,Unknown,1,1,1,True,False,assignment-then-diffusion
assignment-then-diffusion training strategy,Technique,1,1,1,True,False,assignment-then-diffusion training strategy
auditing algorithms,Unknown,1,1,1,True,False,auditing algorithms
basis for equivariant operations,Unknown,1,1,1,True,False,basis for equivariant operations
bidirectional graph search,Unknown,1,1,1,True,False,bidirectional graph search
bisimulation metrics,Unknown,1,1,1,True,False,bisimulation metrics
class-balanced subset,Unknown,1,1,1,True,False,class-balanced subset
classifier-free guidance,Unknown,1,1,1,True,False,classifier-free guidance
composite hypothesis tests,Unknown,1,1,1,True,False,composite hypothesis tests
concept space framework,Tool,1,1,1,True,False,concept space framework
consistent binary relevance surrogate,Unknown,1,1,1,True,False,consistent binary relevance surrogate
counterfactual explanations,Unknown,1,1,1,True,False,counterfactual explanations
cross-view contrastive knowledge distillation,Unknown,1,1,1,True,False,cross-view contrastive knowledge distillation
deep gradient compression,Unknown,1,1,1,True,False,deep gradient compression
discounted occupancy couplings,Unknown,1,1,1,True,False,discounted occupancy couplings
disentangled conditioning mechanism,Unknown,1,1,1,True,False,disentangled conditioning mechanism
disentangled semantic and low-level conditioning mechanism,Unknown,1,1,1,True,False,disentangled semantic and low-level conditioning mechanism
double integral operator,Unknown,1,1,1,True,False,double integral operator
dual training algorithm,Technique,1,1,1,True,False,dual training algorithm
dynamic programming,Algorithm,1,1,1,True,False,dynamic programming
dynamic propagation models,Unknown,1,1,1,True,False,dynamic propagation models
dynamic rescaling,Unknown,1,1,1,True,False,dynamic rescaling
dynamic rescaling of network parameters and gradients,Unknown,1,1,1,True,False,dynamic rescaling of network parameters and gradients
efficient uncoupled learning algorithm,Technique,1,1,1,True,False,efficient uncoupled learning algorithm
equivariant basis from graph Laplacian,Unknown,1,1,1,True,False,equivariant basis from graph Laplacian
feed-forward layer,Unknown,1,1,1,True,False,feed-forward layer
fixed-point forward gradients,Unknown,1,1,1,True,False,fixed-point forward gradients
flow algorithms on graphs,Unknown,1,1,1,True,False,flow algorithms on graphs
flow equations describing learning,Technique,1,1,1,True,False,flow equations describing learning
formal verification,Unknown,1,1,1,True,False,formal verification
game theory,Unknown,1,1,1,True,False,game theory
generalization bounds,Unknown,1,1,1,True,False,generalization bounds
goal-conditioned cost network,Unknown,1,1,1,True,False,goal-conditioned cost network
gradient boosting,Unknown,1,1,1,True,False,gradient boosting
gradient penalties,Unknown,1,1,1,True,False,gradient penalties
graph Laplacian,Unknown,1,1,1,True,False,graph Laplacian
graph structure,Unknown,1,1,1,True,False,graph structure
graph-based learning framework,Tool,1,1,1,True,False,graph-based learning framework
higher order graph neural networks,Architecture,1,1,1,True,False,higher order graph neural networks
inhibitory plasticity,Unknown,1,1,1,True,False,inhibitory plasticity
inhibitory plasticity rule,Unknown,1,1,1,True,False,inhibitory plasticity rule
kth-order Markov processes,Unknown,1,1,1,True,False,kth-order Markov processes
latent interventions,Unknown,1,1,1,True,False,latent interventions
linear models,Unknown,1,1,1,True,False,linear models
linear program,Unknown,1,1,1,True,False,linear program
local simulator access,Unknown,1,1,1,True,False,local simulator access
mechanistic interpretability,Unknown,1,1,1,True,False,mechanistic interpretability
message passing,Unknown,1,1,1,True,False,message passing
meta-learning,Technique,1,1,1,True,False,meta-learning
meta-tuned default parameters,Unknown,1,1,1,True,False,meta-tuned default parameters
method directly training on scenarios with high learnability,Technique,1,1,1,True,False,method directly training on scenarios with high learnability
minimum norm interpolating solutions,Unknown,1,1,1,True,False,minimum norm interpolating solutions
mixture method,Unknown,1,1,1,True,False,mixture method
modular arithmetic dataset,Dataset,1,1,1,True,False,modular arithmetic dataset
multilayer perceptron,Unknown,1,1,1,True,False,multilayer perceptron
multimodal language models,Unknown,1,1,1,True,False,multimodal language models
mutual fairness,Unknown,1,1,1,True,False,mutual fairness
mutual fairness metric,Metric,1,1,1,True,False,mutual fairness metric
nMCTS,Unknown,1,1,1,True,False,nMCTS
nearly-linear time algorithm,Unknown,1,1,1,True,False,nearly-linear time algorithm
neural network classifiers,Unknown,1,1,1,True,False,neural network classifiers
new seed-selection algorithm,Algorithm,1,1,1,True,False,new seed-selection algorithm
no-regret learning procedures,Technique,1,1,1,True,False,no-regret learning procedures
normal-form games,Unknown,1,1,1,True,False,normal-form games
normalization layers,Unknown,1,1,1,True,False,normalization layers
numerical estimation,Unknown,1,1,1,True,False,numerical estimation
one-step retrosynthesis models,Unknown,1,1,1,True,False,one-step retrosynthesis models
online reinforcement learning,Technique,1,1,1,True,False,online reinforcement learning
optimal transport distances,Algorithm,1,1,1,True,False,optimal transport distances
optimal transport theory,Algorithm,1,1,1,True,False,optimal transport theory
option-level formulation,Unknown,1,1,1,True,False,option-level formulation
parameter-space moment matching,Unknown,1,1,1,True,False,parameter-space moment matching
pay-per-token pricing,Unknown,1,1,1,True,False,pay-per-token pricing
polarization,Unknown,1,1,1,True,False,polarization
polytope theory,Unknown,1,1,1,True,False,polytope theory
program search,Unknown,1,1,1,True,False,program search
program synthesis,Unknown,1,1,1,True,False,program synthesis
proportionally fair clustering,Unknown,1,1,1,True,False,proportionally fair clustering
pseudo-programs,Unknown,1,1,1,True,False,pseudo-programs
python sympy,Unknown,1,1,1,True,False,python sympy
quantized assignment strategy,Unknown,1,1,1,True,False,quantized assignment strategy
ranking algorithm,Unknown,1,1,1,True,False,ranking algorithm
red-teaming,Unknown,1,1,1,True,False,red-teaming
reinforcement learning-based centralized dynamic planning framework,Tool,1,1,1,True,False,reinforcement learning-based centralized dynamic planning framework
remote photoplethysmography,Unknown,1,1,1,True,False,remote photoplethysmography
risk controlling prediction sets,Unknown,1,1,1,True,False,risk controlling prediction sets
satisficing paths,Unknown,1,1,1,True,False,satisficing paths
seed-selection algorithm,Algorithm,1,1,1,True,False,seed-selection algorithm
self-attention module,Architecture,1,1,1,True,False,self-attention module
short-flat decomposition framework,Tool,1,1,1,True,False,short-flat decomposition framework
sign operator,Unknown,1,1,1,True,False,sign operator
spectral graph theory,Unknown,1,1,1,True,False,spectral graph theory
state merge,Unknown,1,1,1,True,False,state merge
stochastic-process approach,Unknown,1,1,1,True,False,stochastic-process approach
suite of RL algorithms,Unknown,1,1,1,True,False,suite of RL algorithms
task prioritisation metrics,Unknown,1,1,1,True,False,task prioritisation metrics
teacher-student models,Unknown,1,1,1,True,False,teacher-student models
temporally asymmetric generalization of Oja's rule,Unknown,1,1,1,True,False,temporally asymmetric generalization of Oja's rule
ternary gradients,Optimizer,1,1,1,True,False,ternary gradients
text-to-image models,Unknown,1,1,1,True,False,text-to-image models
tool-augmented ORM,Tool,1,1,1,True,False,tool-augmented ORM
topological data analysis,Unknown,1,1,1,True,False,topological data analysis
transfer learning,Technique,1,1,1,True,False,transfer learning
tree-based evidential learning,Technique,1,1,1,True,False,tree-based evidential learning
two-stage training algorithm,Technique,1,1,1,True,False,two-stage training algorithm
uncoupled learning algorithm,Technique,1,1,1,True,False,uncoupled learning algorithm
universal stochastic gradient methods,Optimizer,1,1,1,True,False,universal stochastic gradient methods
value function approximation,Unknown,1,1,1,True,False,value function approximation
vanilla Sinkhorn,Algorithm,1,1,1,True,False,vanilla Sinkhorn
view decoupling,Unknown,1,1,1,True,False,view decoupling
visual search,Unknown,1,1,1,True,False,visual search
weak supervision,Unknown,1,1,1,True,False,weak supervision
weight noise,Unknown,1,1,1,True,False,weight noise
weight rescaling,Unknown,1,1,1,True,False,weight rescaling
weights2weights subspace,Unknown,1,1,1,True,False,weights2weights subspace
white-box jailbreak method,Unknown,1,1,1,True,False,white-box jailbreak method
ηMCTS,Unknown,1,1,1,True,False,ηMCTS
